,timestamp,open,high,low,close,volume
0,2025-12-15,308.9850,311.3629,306.3500,308.6600,3412368
1,2025-12-12,310.5700,311.0500,303.3300,309.2400,2953374
2,2025-12-11,312.0000,313.4400,308.4000,310.7400,2755749
3,2025-12-10,310.2300,314.6900,306.6513,312.6700,3411524
4,2025-12-09,309.6300,313.9700,308.7500,310.4800,2914275
5,2025-12-08,309.6200,315.3454,307.9500,309.1800,3615794
6,2025-12-05,308.5900,311.8300,307.1800,307.9400,2344667
7,2025-12-04,302.8750,309.6100,302.5400,307.9900,2962463
8,2025-12-03,302.8800,303.9700,298.9050,302.6200,3953390
9,2025-12-02,307.0000,310.4675,301.5700,301.7800,4261100
10,2025-12-01,306.5050,307.1200,302.8000,305.6700,3166555
11,2025-11-28,304.0600,309.1800,303.6000,308.5800,1689031
12,2025-11-26,305.1800,306.6000,301.6400,303.2100,2196446
13,2025-11-25,304.1250,306.0000,297.0600,304.4800,2825322
14,2025-11-24,299.1800,307.1800,297.5100,304.1200,6050640
15,2025-11-21,293.4800,300.4800,291.8900,297.4400,5710903
16,2025-11-20,294.6400,300.7100,290.1600,290.4000,5597028
17,2025-11-19,290.5000,291.1099,288.0700,288.5300,3595912
18,2025-11-18,297.0000,297.0000,289.9200,289.9500,4861928
19,2025-11-17,305.5900,306.0000,296.5100,297.1700,3909741
20,2025-11-14,300.0000,307.7200,297.5900,305.6900,3592455
21,2025-11-13,312.2900,314.6000,303.6800,304.8600,5310150
22,2025-11-12,319.8900,324.9000,314.5324,314.9800,6042686
23,2025-11-11,309.0000,317.9100,308.4300,313.7200,4381913
24,2025-11-10,306.8200,309.9400,304.2300,309.1300,2975188
25,2025-11-07,309.6800,310.0000,302.6301,306.3800,5070773
26,2025-11-06,306.7500,315.4400,301.0900,312.4200,6818521
27,2025-11-05,301.3800,307.2000,299.7100,306.7700,4633195
28,2025-11-04,300.0000,303.1700,296.0000,300.8500,5677330
29,2025-11-03,308.0000,312.1411,304.2300,304.7300,4957958
30,2025-10-31,312.0000,313.5000,301.6300,307.4100,7697499
31,2025-10-30,306.6500,313.7500,305.0200,310.0600,4694275
32,2025-10-29,312.7900,314.3300,307.5200,308.2100,4135948
33,2025-10-28,312.6000,319.3500,311.4100,312.5700,6044770
34,2025-10-27,307.8000,313.5000,302.8800,313.0900,9868151
35,2025-10-24,283.7700,310.7500,282.2100,307.4600,16914243
36,2025-10-23,264.9500,285.5791,263.5623,285.0000,16676394
37,2025-10-22,281.9900,289.1700,281.3500,287.5100,10538480
38,2025-10-21,283.3100,285.3100,281.6000,282.0500,4080981
39,2025-10-20,281.2500,285.5000,280.9600,283.6500,3494336
40,2025-10-17,276.1500,283.4000,275.3500,281.2800,5309565
41,2025-10-16,281.1100,282.5600,275.6000,275.9700,2956923
42,2025-10-15,278.3800,285.4500,277.0000,280.7500,3346753
43,2025-10-14,275.5200,277.5300,272.5469,276.1500,3058149
44,2025-10-13,279.7900,282.4399,274.6400,277.2200,4333836
